A,B,C,D,E
0.6952001958235741,0.9298045230085825,100,0.9994538892248008,0.7554273681585805
0.7980603336168867,0.9951169508206323,0.2904756028136749,0.1547863358112158,0.37675888208545827
0.475575393568493,0.3613556697015987,0.4041791302354807,0.14635507010229631,0.9782054173488246
0.1509324768260032,0.21419036929519897,0.47848749725714024,0.031781690341229685,0.1673191370356859
0.6086978423914683,0.04633730119018464,0.4309853403974556,0.25360104431788155,0.5292839225541652
0.4900884761728841,0.5401152299421997,0.5833551020014406,0.011864667294204989,0.49024236252560416
0.7877514594486053,0.3750490010166826,0.9497747860229269,0.5773337370307379,0.7576125777861304
0.40560583457978605,0.797120316690357,0.337618401437934,0.9575733610692094,0.5039610287988968
0.1804746313479494,0.8505059273683263,0.8444213987107102,0.526904769601559,0.9345986601403936
0.886008880437916,0.6049836883619354,0.10338036800420303,0.44397874840917995,0.3645155452912411
0.5691734491793324,0.5449111872958214,0.23309262313432233,0.20617908597276535,0.0819274239476081
0.058131982675305394,0.6290335732831309,0.5653346866884637,0.5742377961989793,0.06114645574909394
0.3189298017521386,0.6780842944283504,0.9142507117713662,0.21598849140228693,0.8376051193953696
0.6649586065683575,0.9831612330789214,0.5813183769223078,0.4315159870891231,0.9360165223526594
0.5810581144525904,0.7327076145224917,0.7966385428577999,0.8484145990423237,0.3777779559247947
0.07307356041279489,0.026909765703265753,0.6424880801965299,0.770620476170788,0.04274845452826248
0.6475904484908429,0.7732270693734006,0.6588649244911452,0.6470627400725159,0.7815378012807055
0.8619786040812553,0.42650249177341515,0.021545434683427622,0.2288125944332472,0.6923229226347346
0.43390991561117576,0.451325290651458,0.043416761464073916,0.4493301111170912,0.2792615102321857
0.787160278256513,0.49240483503857013,0.041575573667135046,0.44911711346548244,0.3713206020756995
0.9020976393799651,0.6527403904825866,0.40508152473307024,0.09029356790934884,0.8844886412470423
0.5842777182343145,0.16018202934518644,0.3552320964420441,0.6051252300545125,0.45932365485967264
0.8073604656939353,0.7485737836475614,0.4942946716868639,0.3380279443292473,0.14144240656045226
0.8981782067252113,0.5433067364672287,0.2996775712050799,0.1487694068150952,0.2632328720420589
0.029993264594738167,0.865501557509416,0.6894566992569181,0.0066416300060213596,0.7321859010874705
0.1470813136523751,0.021343036516770053,0.37993787372543875,0.4791287478276184,0.19280067005800017
0.8845371207476129,0.5545345543284967,0.8232992268947703,0.9028107441735872,0.3680125523091059
0.1791931929142213,0.3992028738788086,0.8924242168135288,0.4840500578431902,0.8716387889079183
0.33845421203883497,0.40084132623334434,0.09587683021271165,0.3447516258170271,0.300853551155685
0.19240781211968028,0.1128638101323356,0.5801996782331321,0.3711502389861385,0.4528164769662879
0.6982268139162014,0.815461537445158,0.6800285131196923,0.6543597418569236,0.8881928289299225
0.29591184492652645,0.48319452496920634,0.6589470804383618,0.9936318808389526,0.37378309478883187
0.6734696957061587,0.6262659024275685,0.9077282799509276,0.3194525491391791,0.6175764706331096
0.6819499343079675,0.2912203452324482,0.9675197923886033,0.2886354483713557,0.7475455767995518
0.4088072043481842,0.2840237476372065,0.75902471814312,0.15321253827145187,0.3754020341607468
0.32204280951359887,0.7408978539594627,0.6315171514472363,0.37055349532650983,0.7138968252574968
0.5723254081836168,0.8419587443172833,0.01470537845897113,0.777271342726386,0.31769486513799994
0.4403368100675815,0.961884167450832,0.9118747070545824,0.022517000006897825,0.1962488909450406
0.7837876531419593,0.24320364475499678,0.37672945782907097,0.11749332062341289,0.7081628557767398
0.6016504090737598,0.43123484120149713,0.809794650488815,0.6601358018662337,0.8411786076851584
0.7682454771770372,0.15523333551002005,0.19955162228520185,0.16873453509741843,0.02322147695687038
0.4468668931682216,0.10218657874245762,0.9351055499091032,0.02561520225613123,0.6659081620649556
0.32736112534576356,0.38231286241097207,0.5476174756956813,0.47639481507705206,0.6222779547377065
0.6417680572338545,0.4840976441576186,0.1055689537448149,0.1531048626993139,0.7395354163440127
0.24660579245894965,0.6505174820810953,0.8064049231325165,0.8516334896146128,0.6463722826150968
0.943605989155184,0.3962608638619953,0.20742618685955838,0.17757351346719863,0.7467366826827361
0.7784643869374555,0.8966225050336302,0.4912093355230721,0.5634598080973058,0.04100081392880317
0.81092382773373,0.3338300578251001,0.6864269130570021,0.8560627046412528,0.3988335950521472
0.7529987185097001,0.5849319242103989,0.02615504825021675,0.3521376765769705,0.5133296021215542
0.7890679379731834,0.3864195362953238,0.7408127057581334,0.9618802602027552,0.05433750770885659
0.9399259517893241,0.295365175703478,0.10359490589534137,0.8452029502550031,0.3274097144163126
0.35094528464361885,0.8496010449547323,0.5642209691099669,0.07506366517321617,0.7474699414490529
0.8888165794751539,0.6693190108581791,0.24477144819667696,0.09426183850284953,0.016081923229715245
0.20395416577049708,0.26549408195418556,0.5200959512113071,0.47227364275386763,0.14983976481961003
0.4062627751906914,0.554552014729292,0.19956764988610975,0.8047663587441563,0.9425477257771471
0.21551916141995975,0.030436151333928074,0.30122750938364773,0.4368816518340666,0.5363246635825025
0.4176854199844482,0.9175480641418486,0.022283956634499558,0.01669315840274821,0.8716548733672567
0.5226150508843406,0.6400915069159918,0.3257345977756325,0.8434282248353674,0.8238735109385581
0.27118628715733506,0.11135030682639113,0.21828559832248717,0.23936953261331617,0.4139497752321041
0.3199580034597599,0.9591493817834343,0.7522452203455892,0.5994732250030063,0.7428688707712992
0.8671757456003159,0.9961152564096597,0.5987815387793044,0.9581972058808552,0.012306911384944552
0.770398706676953,0.3472004588921854,0.7922845373506534,0.3143482102342555,0.12501975026939727
0.8409421508336133,0.19575154728355293,0.6758738811141417,0.8898528461680085,0.09052269201724428
0.009292370117700122,0.0539086510864899,0.2646478069798839,0.40172768808850545,0.05098121387483312
0.07119397255903004,0.36376293181214336,0.6839608582990051,0.2319130918823118,0.2505385457530055
